sites,study_id,year,reference,doi_link,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,forest_type_iucn_new,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,link
1,Rodríguez_2009,2009,"Rodríguez, M. H. O. (2009). Análisis de la estratificación vertical del ensamblaje de murciélagos de un fragmento de bosque seco tropical (Córdoba, Colombia), a partir de la heterogeneidad del hábitat y la ecomorofología alar. Trabajo de Grado. Bogotá: Facultad de Ciencias, Pontificia Universidad Javeriana.",NA,3,2,1,"Abundance (table 2), Richness (estimated Table 6) - 2 categories of height",Mist nets,Bats,Americas,Colombia,Unlogged,Wet,Dry forest,dry_forest,75,15,8.181667,-75.55,9/1/2009,10/1/2009,Rodríguez_2009 _ 1
1,Scheffers_2013,2013,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Montane rainforest,moist_montane_forest,1000,20,14.042436,121.524332,5/1/2011,10/1/2011,Scheffers_2013 _ 1
2,Scheffers_2013,2013,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Montane rainforest,moist_montane_forest,1400,20,14.052623,121.51217,5/1/2011,10/1/2011,Scheffers_2013 _ 2
3,Scheffers_2013,2013,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Pine forest,moist_montane_forest,1800,20,14.056614,121.50037,5/1/2011,10/1/2011,Scheffers_2013 _ 3
1,Silva_2020b,2020,"Silva, R. C., Silveira, M., & Verde, R. S. (2020). Vertical stratification of phyllostomid bats assemblage (Chiroptera, Phyllostomidae) in a forest fragment in Brazilian Southwestern Amazon. Neotropical Biology and Conservation, 15, 107.",10.3897/neotropical.15.e47641,3,3,3,"Richness (not estimated), Abundance (needs conversion by effort) - 2 categories of height",Mist nets,Bats,Americas,Brazil,Fragment,Sampling combined,Lowland rainforest,moist_lowland_forest,200,30,-10.081389,-67.621944,5/1/2014,1/15/2015,Silva_2020b _ 1
1,Vieira_2003,2003,"Vieira, E. M., & Monteiro-Filho, E. L. (2003). Vertical stratification of small mammals in the Atlantic rain forest of south-eastern Brazil. Journal of Tropical Ecology, 19(05), 501-507.",10.1017/S0266467403003559,3,5,4,"Richness, abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Atlantic rainforest,moist_lowland_forest,200,25,-24.233333,-48.066667,9/1/1995,8/1/1997,Vieira_2003 _ 1
2,Vieira_2003,2003,"Vieira, E. M., & Monteiro-Filho, E. L. (2003). Vertical stratification of small mammals in the Atlantic rain forest of south-eastern Brazil. Journal of Tropical Ecology, 19(05), 501-507.",10.1017/S0266467403003559,3,3,4,"Richness, abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Atlantic rainforest,moist_montane_forest,900,25,-24.283333,-47.35,9/1/1995,8/1/1997,Vieira_2003 _ 2
1,Voss_2001,2001,"Voss, R. S., Lunde, D. P., & Simmons, N. B. (2001). The mammals of Paracou, French Guiana: a neotropical lowland rainforest fauna part 2. Nonvolant species. Bulletin of the American Museum of Natural History, 2001(263), 3-236.",NA,3,3,4,Richness (figures 84-87) -2 categories of height,Traps,Small mammals,Americas,French Guiana,Unlogged (with some degraded forest),Sampling combined,Lowland rainforest,moist_lowland_forest,25,30,5.275278,-52.923611,1991,1992,Voss_2001 _ 1
1,Walther_2002,2002,"Walther, B. A. (2002). Vertical stratification and use of vegetation and light habitats by Neotropical forest birds. Journal für Ornithologie, 143(1), 64-81.",10.1046/j.1439-0361.2002.01007.x,2,4,4,Richness - continuous gradient (Table 2),Human observation,Birds,Americas,Venezuela,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,110,33,3.166667,-65.666667,5/1/1998,4/1/1999,Walther_2002 _ 1
1,Wells_2004,2004,"Wells, K., Pfeiffer, M., Lakim, M. B., & Linsenmair, K. E. (2004). Use of arboreal and terrestrial space by a small mammal community in a tropical rain forest in Borneo, Malaysia. Journal of Biogeography, 31(4), 641-652.",NA,2,5,4,"Richness, abundance - 2 categories of height",Traps,Small mammals,Asia and Oceania,Malaysia,Unlogged,Dry,Rainforest,moist_montane_forest,850,30,6.122515,116.520789,3/1/2001,9/1/2001,Wells_2004 _ 1
