"","Study Unit","Reference","Taxa","Method","Study Quality","Bioregion","Country","Latitude","Longitude","Elevation","Forest Type","Canopy Height","Season","Richness","Abundance"
"27","Henry 2004","Henry, M., Barrière, P., Gautier-Hion, A., & Colyn, M. (2004). Species composition, abundance and vertical stratification of a bat community (Megachiroptera: Pteropodidae) in a West African rain forest. Journal of Tropical Ecology, 20(01), 21-29.","Bats","Mist nets",8,"Africa","Ivory Coast",5.746713,-7.098746,200,"moist_lowland_forest",35,"Sampling combined","Y","Y"
"28","Hodgkison 2004","Hodgkison, R., Balding, S. T., Zubaid, A., & Kunz, T. H. (2004). Habitat structure, wing morphology, and the vertical stratification of Malaysian fruit bats (Megachiroptera: Pteropodidae). Journal of Tropical Ecology, 667-673.","Bats","Mist nets",11,"Asia and Oceania","Malaysia",3.716667,102.283333,100,"moist_lowland_forest",35,"Sampling combined",NA,"Y"
"29","Ingle 1993","Ingle, N. R. (1993). Vertical stratification of bats in a Philippine rainforest. Asian International Journal of Life Sciences.","Bats","Mist nets",8,"Asia and Oceania","Philippines",14.15,121.216667,350,"moist_lowland_forest",25,"Sampling combined",NA,"Y"
"30","Jayson 2003","Jayson, E. A., & Mathew, D. N. (2003). Vertical stratification and its relation to foliage in tropical forest birds in Western Ghats (India). Acta Chiropterologica, 38(2), 111-116.","Birds","Human observation",9,"Asia and Oceania","India",11.05,76.416667,1000,"moist_montane_forest",35,"Sampling combined","Y","Y"
"31","Jayson 2003 (2)","Jayson, E. A., & Mathew, D. N. (2003). Vertical stratification and its relation to foliage in tropical forest birds in Western Ghats (India). Acta Chiropterologica, 38(2), 111-116.","Birds","Human observation",9,"Asia and Oceania","India",11.216667,76.583333,700,"moist_montane_forest",35,"Sampling combined","Y","Y"
"32","Kalko 2001","Kalko, E. K., & Handley, C. O. (2001). Neotropical bats in the canopy: diversity, community structure, and implications for conservation. Plant ecology, 153(1-2), 319-333.","Bats","Mist nets",11,"Americas","Brazil",-1.42398,-48.241233,50,"moist_lowland_forest",35,"Wet",NA,"Y"
"33","Karr 1971 (2)","Karr, J. R. (1971). Structure of avian communities in selected Panama and Illinois habitats. Ecological Monographs, 41(3), 207-233.","Birds","Mist nets + Human observation",8,"Americas","Panama",9.159722,-79.743333,100,"moist_lowland_forest",35,"Sampling combined","Y",NA
"34","Karr 1976","Karr, J. R. (1976). Within-and between-habitat avian diversity in African and Neotropical lowland habitats. Ecological Monographs, 46(4), 457-481.","Birds","Human observation",7,"Africa","Liberia",7.484444,-8.570278,475,"moist_lowland_forest",30,"Wet","Y",NA
"35","Kuznetsov 2008","Kuznetsov, G. V., & Filatova, T. N. (2008). On the structure of rodent communities in tropical forests of southern Vietnam. Biology Bulletin, 35(5), 515-523.","Small mammals","Traps",8,"Asia and Oceania","Vietnam",11.439917,107.415222,200,"moist_lowland_forest",25,"Wet","Y","Y"
"36","Lambert 2005","Lambert, T. D., Malcolm, J. R., & Zimmerman, B. L. (2005). Variation in small mammal species richness by trap height and trap type in southeastern Amazonia. Journal of Mammalogy, 86(5), 982-990.","Small mammals","Traps",11,"Americas","Brazil",-7.770556,-51.961944,300,"moist_lowland_forest",20,"Sampling combined","Y","Y"
"37","Latta 1998","Latta, S. C., & Wunderle Jr, J. M. (1998). The Assemblage of Birds Foraging in Native West Indian Pine (Pinus occidentalis) Forests of the Dominican Republic during the Nonbreeding Season 1. Biotropica, 30(4), 645-656.","Birds","Human observation",8,"Americas","Dominican Republic",16.1,-70.8,800,"moist_montane_forest",20,"Sampling combined","Y","Y"
"38","Lentijo 2005","Lentijo, G. M., & Kattan, G. H. (2005). Estratificación vertical de las aves en una plantación mono específica y en bosque nativo en la cordillera central de Colombia. Ornitología Colombiana, 3, 51-61.","Birds","Human observation",7,"Americas","Colombia",4.733333,-75.583333,1950,"moist_montane_forest",33,"Sampling combined","Y","Y"
"39","Lim 2001","Lim, B. K., & Engstrom, M. D. (2001). Bat community structure at Iwokrama forest, Guyana. Journal of Tropical Ecology, 647-665.","Bats","Mist nets",8,"Americas","Guyana",4.5,-59.25,100,"moist_lowland_forest",30,"Dry","Y","Y"
"40","MacSwiney 2008","MacSwiney G, M. C., Clarke, F. M., & Racey, P. A. (2008). What you see is not what you get: the role of ultrasonic detectors in increasing inventory completeness in Neotropical bat assemblages. Journal of applied Ecology, 45(5), 1364-1371.","Bats","Mist nets + Audio devices",13,"Americas","Mexico",21.1,-87.166667,50,"moist_lowland_forest",30,"Sampling combined",NA,"Y"
"41","Maklarin 1998","Maklarin, B. L. (1998). A small mammal community in the tropical rain forest canopy at Poring Hot Springs, Kinabalu Park. Sabah Parks Nature Journal, 1, 93-105.","Small mammals","Traps",8,"Asia and Oceania","Malaysia",6.045043,116.698858,579,"moist_lowland_forest",35,"Sampling combined","Y","Y"
"42","Malcolm 1991","Malcolm, J. R. (1991). Comparative abundances of Neotropical small mammals by trap height. Journal of Mammalogy, 72(1), 188-192.","Small mammals","Traps",13,"Americas","Brazil",-2.650665,-61.565232,100,"moist_lowland_forest",35,"Sampling combined",NA,"Y"
"43","Malcolm 2000","Malcolm, J. R., & Ray, J. C. (2000). Influence of timber extraction routes on central African small-mammal communities, forest structure, and tree diversity. Conservation Biology, 14(6), 1623-1638.","Small mammals","Traps",11,"Africa","Central African Republic",2.95,16.266667,400,"moist_lowland_forest",33,"Dry","Y","Y"
"44","Marques 2015","Marques, J. T., Ramos Pereira, M. J., & Palmeirim, J. M. (2015). Patterns in the use of rainforest vertical space by Neotropical aerial insectivorous bats: all the action is up in the canopy. Ecography.","Bats","Audio devices",12,"Americas","Brazil",-2.616667,-64.616667,40,"moist_lowland_forest",35,"Dry","Y","Y"
